ap_country,ap_latitude,ap_longitude,ap_name,distance,loc_latitude,loc_longitude,nearest_airport
TW,22.7549991607666,121.10199737548828,Taitung Airport,0.00017193165042392019,22.7550016448868,121.10199823814487,RCFN
GB,55.43719863891602,-5.686389923095702,Campbeltown Airport,0.00032854839877322534,55.43719609892515,-5.686388392711271,EGEC
CO,3.54322,-76.3816,Alfonso Bonilla Aragon International Airport,8.421227638930544e-05,3.5432225712905723,-76.38159954499699,SKCL
PT,41.248100280799996,-8.68138980865,Francisco de Sá Carneiro Airport,0.0003394411236350693,41.24810256731654,-8.681387756886817,LPPR
RU,43.512901306152344,43.63660049438477,Nalchik Airport,0.00030033545081473606,43.51290159906559,43.63660318703433,URMN
GB,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport,4.372597931058917e-05,53.3335987428362,-2.8497201856421754,EGGP
ES,28.945499420166016,-13.605199813842773,Lanzarote Airport,0.00028274490560181335,28.945501224065968,-13.605197972168718,GCRR
BG,42.696693420410156,23.411436080932607,Sofia Airport,0.0002936045617031041,42.696694572011964,23.411433661190227,LBSF
AU,-22.2355995178,114.08899688700001,Learmonth Airport,0.00023670650046868976,-22.235598214866847,114.08899482574358,YPLM
VE,7.565380096435548,-72.03510284423828,Mayor Buenaventura Vivas International Airport,0.00013882570428065338,7.565380563531,-72.03510160408891,SVSO
TR,40.976898193400004,28.814599990799998,Atatürk International Airport,0.00027557208312908995,40.976898724569345,28.814597556612426,LTBA
US,61.174400329589844,-149.99600219726562,Ted Stevens Anchorage International Airport,2.865913641748827e-05,61.174400118486595,-149.9960020155845,PANC
NL,51.4500999451,5.374529838559999,Eindhoven Airport,0.00038654904596884914,51.45009739416878,5.374527464821564,EHEH
US,36.475201,-82.40740100000002,Tri-Cities Regional TN/VA Airport,0.00016252623546529293,36.47519797611622,-82.4074024059658,KTRI
ES,39.551700591999996,2.73881006241,Palma De Mallorca Airport,0.000298317532816788,39.55170058664913,2.7388127452387026,LEPA
PH,6.058000087740001,125.096000671,General Santos International Airport,0.00018037517008056444,6.05799735947722,125.09600108433256,RPMR
IT,40.88600200000001,14.2908,Naples International Airport,0.00033639977625102063,40.885998970371844,14.290799269822266,LIRN
GB,51.5713996887207,0.6955559849739075,Southend Airport,0.00030993511283834436,51.57139828897593,0.6955535745549655,EGMC
DE,51.289501,6.766780000000002,Düsseldorf Airport,0.00023429725374064507,51.289503053771575,6.766780529521758,EDDL
AR,-27.45,-59.0561,Resistencia International Airport,9.9541425524456e-05,-27.450001164683197,-59.056100665374565,SARE
SE,63.791801452636996,20.282800674438,Umeå Airport,0.00034396663684476607,63.79180310693707,20.282803350456323,ESNU
BR,-3.776279926300049,-38.53260040283203,Pinto Martins International Airport,0.00030911050214898746,-3.7762788840379855,-38.532597745183786,SBFZ
NO,68.491302490234,16.678100585938,"Harstad/Narvik Airport, Evenes",0.000305336844414553,68.49130034542524,16.678102407748202,ENEV
GR,36.40539932250977,28.086200714111328,Diagoras Airport,0.00017375353722234987,36.405400257513385,28.08620204124057,LGRP
MX,31.356202000000003,-113.525677,Puerto Peñasco International Airport,0.0003253158584416273,31.356203958345052,-113.52567418072687,MMPE
PW,7.367310000000002,134.544236,Babelthuap Airport,0.036972938073566206,7.367652828431353,134.54400637110444,PTRO
GE,41.610298156700004,41.5997009277,Batumi International Airport,0.00031351665642672267,41.610297837508504,41.59969811829859,UGSB
US,40.63980103,-73.77890015,John F Kennedy International Airport,0.0001778783836105983,40.63979900580412,-73.77889865356957,KJFK
US,40.69250106811523,-74.168701171875,Newark Liberty International Airport,0.00024190917723224332,40.69249966380025,-74.1686990303309,KEWR
US,33.94250107,-118.4079971,Los Angeles International Airport,6.426370017245255e-05,33.942501068097876,-118.40799652206336,KLAX
US,40.77719879,-73.87259674,La Guardia Airport,0.0002583316926566586,40.777200014654454,-73.87259444180731,KLGA
US,41.97859955,-87.90480042,Chicago O'Hare International Airport,2.8282288119647987e-05,41.97860083779656,-87.90480066995316,KORD
US,36.08010101,-115.1520004,McCarran International Airport,0.00032261624889909536,36.08010346932786,-115.15199769347186,KLAS
US,33.63669967651367,-84.4281005859375,Hartsfield Jackson Atlanta International Airport,0.00023348382471839835,33.63670203368065,-84.4280984986773,KATL
US,28.429399490356445,-81.30899810791016,Orlando International Airport,0.0001831010321087942,28.42939803094597,-81.3089964760764,KMCO
US,37.61899948120117,-122.375,San Francisco International Airport,0.00017773838331326984,37.61899935211383,-122.37500159694449,KSFO
US,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,0.00011491043658526045,42.36429883674478,-71.0052042377633,KBOS
US,39.17539978,-76.66829681,Baltimore/Washington International Thurgood Marshall Airport,7.367202297562074e-05,39.175399095541046,-76.66829616652453,KBWI
US,32.896800994873054,-97.03800201416016,Dallas Fort Worth International Airport,0.0002212173694686479,32.896801525782564,-97.03800002576835,KDFW
US,47.44900131225586,-122.30899810791016,Seattle Tacoma International Airport,0.00013888276492111842,47.44900133047737,-122.3089968589454,KSEA
US,38.8521,-77.037697,Ronald Reagan Washington National Airport,0.0002543170247541153,38.85210193006053,-77.03769924577924,KDCA
US,38.94449997,-77.45580292,Washington Dulles International Airport,0.00011423079539031165,38.94450283368129,-77.45580373762006,KIAD
US,44.8819999695,-93.22180175780001,Minneapolis-St Paul International/Wold-Chamberlain Airport,0.00015753582229714673,44.882001439264535,-93.2218031721436,KMSP
US,39.861698150635,-104.672996521,Denver International Airport,0.00017696254874819886,39.861699401704655,-104.67299496140774,KDEN
